date,year,month,city,product_id,product_name,category,sub_category,channel,customer_type,unit_price,sales_qty,revenue,cost,profit,discount,rating
2025-04-24,2025,4,Langkat,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,5712114,8,37471467,26865984,10605483,0.18,4.0
2025-07-25,2025,7,Tebing Tinggi,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,6866533,2,7141194,5821395,1319799,0.48,3.5
2025-03-01,2025,3,Pematangsiantar,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,9610091,18,122816962,88384011,34432951,0.29,3.7
2025-05-07,2025,5,Gunungsitoli,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Individual,3140427,3,7065960,5140741,1925219,0.25,3.7
2025-02-17,2025,2,Mandailing Natal,DT-2001,Smartphone X,Electronics,Smartphone,Distributor,Individual,9884073,27,253526472,168416194,85110278,0.05,4.1
2025-04-21,2025,4,Langkat,DT-2001,Smartphone X,Electronics,Smartphone,Distributor,Individual,11477124,26,280500910,209111896,71389014,0.06,3.6
2025-09-19,2025,9,Langkat,DT-2002,Smartphone Lite,Electronics,Smartphone,Online,Individual,4637154,7,22072853,14159613,7913240,0.32,4.2
2025-05-17,2025,5,Pematangsiantar,DT-1002,Laptop Air,Electronics,Laptop,Retail,Business,11320975,7,74492015,59843261,14648754,0.06,4.4
2025-10-28,2025,10,Tebing Tinggi,DT-1002,Laptop Air,Electronics,Laptop,Online,Individual,14567549,3,31902932,21617607,10285325,0.27,3.7
2025-11-26,2025,11,Tanjungbalai,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,5343976,11,46439151,28844164,17594987,0.21,3.9
2025-11-16,2025,11,Karo,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,16863735,3,43002524,28055555,14946969,0.15,4.7
2025-09-09,2025,9,Padangsidimpuan,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,15046770,10,126392868,99302396,27090472,0.16,3.8
2025-04-26,2025,4,Mandailing Natal,DT-2002,Smartphone Lite,Electronics,Smartphone,Online,Individual,3544363,8,20415530,12796619,7618911,0.28,3.9
2025-07-19,2025,7,Langkat,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,6102327,18,74692482,53947127,20745355,0.32,4.4
2025-11-25,2025,11,Binjai,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,5764975,6,26288286,19291763,6996523,0.24,3.7
2025-05-20,2025,5,Padangsidimpuan,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,3863867,15,48105144,35927172,12177972,0.17,5.0
2025-01-07,2025,1,Asahan,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,11517490,9,79816205,65359519,14456686,0.23,3.6
2025-01-09,2025,1,Karo,DT-1002,Laptop Air,Electronics,Laptop,Online,Individual,13181149,2,14499263,11526224,2973039,0.45,4.5
2025-02-28,2025,2,Gunungsitoli,DT-2001,Smartphone X,Electronics,Smartphone,Online,Individual,11123221,1,8119951,5555763,2564188,0.27,4.7
2025-10-25,2025,10,Sibolga,DT-2001,Smartphone X,Electronics,Smartphone,Distributor,Individual,11744901,28,299260077,234968073,64292004,0.09,4.8
2025-07-09,2025,7,Sibolga,DT-1002,Laptop Air,Electronics,Laptop,Distributor,Individual,13837541,37,383991762,250719373,133272389,0.25,4.1
2025-12-31,2025,12,Gunungsitoli,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,13235784,23,216140352,134621826,81518526,0.29,3.7
2025-09-08,2025,9,Tebing Tinggi,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,2506051,7,14384732,9608264,4776468,0.18,3.7
2025-03-08,2025,3,Tapanuli Utara,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Individual,2376459,20,38498635,28534187,9964448,0.19,4.4
2025-01-23,2025,1,Tapanuli Utara,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Business,12628023,9,96604375,68820721,27783654,0.15,4.1
2025-06-25,2025,6,Tanjungbalai,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,7945182,7,36150578,29310950,6839628,0.35,3.6
2025-02-13,2025,2,Simalungun,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,9346621,2,17384715,13453623,3931092,0.07,5.0
2025-11-02,2025,11,Tebing Tinggi,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,11168344,9,78401774,62649098,15752676,0.22,3.9
2025-02-23,2025,2,Binjai,DT-2002,Smartphone Lite,Electronics,Smartphone,Online,Individual,4575326,3,10431743,6560734,3871009,0.24,4.5
2025-08-20,2025,8,Pematangsiantar,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,2893386,1,1736031,1383920,352111,0.4,3.9
2025-02-10,2025,2,Tapanuli Utara,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,7594721,6,35543294,25682698,9860596,0.22,4.2
2025-04-28,2025,4,Tanjungbalai,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,3249807,1,2404857,1909957,494900,0.26,4.3
2025-05-22,2025,5,Padangsidimpuan,DT-3001,Tablet Plus,Electronics,Tablet,Distributor,Individual,8015937,40,311018355,215335265,95683090,0.03,4.5
2025-07-12,2025,7,Gunungsitoli,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Business,4285181,20,59992533,46422555,13569978,0.3,3.6
2025-11-30,2025,11,Medan,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Business,2489749,12,26291749,18620739,7671010,0.12,4.4
2025-06-07,2025,6,Langkat,DT-2001,Smartphone X,Electronics,Smartphone,Online,Business,9761502,12,81996616,66176768,15819848,0.3,4.5
2025-12-16,2025,12,Padangsidimpuan,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Individual,4086556,9,25745302,19867532,5877770,0.3,4.2
2025-03-04,2025,3,Asahan,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,7886658,8,37855958,27631246,10224712,0.4,4.9
2025-04-09,2025,4,Deli Serdang,DT-2001,Smartphone X,Electronics,Smartphone,Online,Individual,8943381,3,21464114,17249443,4214671,0.2,3.5
2025-01-09,2025,1,Karo,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,4425947,5,17261193,12691679,4569514,0.22,3.9
2025-03-26,2025,3,Gunungsitoli,DT-1001,Laptop Pro,Electronics,Laptop,Distributor,Business,17541798,62,967956413,686771193,281185220,0.11,3.8
2025-08-25,2025,8,Padangsidimpuan,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,16321317,15,225234174,174117808,51116366,0.08,4.6
2025-03-23,2025,3,Pematangsiantar,DT-3001,Tablet Plus,Electronics,Tablet,Distributor,Individual,7389255,53,336802242,269682456,67119786,0.14,4.8
2025-12-14,2025,12,Tapanuli Utara,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,12363878,21,160977691,131167949,29809742,0.38,4.9
2025-12-27,2025,12,Tanjungbalai,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Business,3110332,8,15924899,12686327,3238572,0.36,4.0
2025-06-19,2025,6,Medan,DT-1002,Laptop Air,Electronics,Laptop,Online,Business,12948890,5,32372225,24396669,7975556,0.5,3.6
2025-02-21,2025,2,Tanjungbalai,DT-2001,Smartphone X,Electronics,Smartphone,Distributor,Individual,12004782,15,162064557,107746709,54317848,0.1,4.9
2025-08-15,2025,8,Tanjungbalai,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,2353687,2,3106866,2092367,1014499,0.34,3.9
2025-07-21,2025,7,Sibolga,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,3205089,7,11217811,8506906,2710905,0.5,3.6
2025-07-03,2025,7,Tapanuli Utara,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Individual,3098164,11,24537458,19570139,4967319,0.28,4.0
2025-12-30,2025,12,Deli Serdang,DT-1002,Laptop Air,Electronics,Laptop,Online,Individual,12656270,5,36703183,28143982,8559201,0.42,4.9
2025-05-08,2025,5,Mandailing Natal,DT-2002,Smartphone Lite,Electronics,Smartphone,Distributor,Individual,4638135,50,227268615,147335805,79932810,0.02,4.5
2025-07-04,2025,7,Tebing Tinggi,DT-3001,Tablet Plus,Electronics,Tablet,Distributor,Individual,5815292,63,267445279,179911682,87533597,0.27,4.4
2025-04-30,2025,4,Mandailing Natal,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,4885632,10,40550745,24341699,16209046,0.17,3.9
2025-08-09,2025,8,Tebing Tinggi,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,12079949,4,44454212,27850648,16603564,0.08,4.8
2025-03-24,2025,3,Mandailing Natal,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,6714976,19,85481644,51827715,33653929,0.33,3.7
2025-03-01,2025,3,Medan,DT-2001,Smartphone X,Electronics,Smartphone,Online,Individual,9056216,12,60857771,46910160,13947611,0.44,4.4
2025-08-15,2025,8,Pematangsiantar,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Business,2370503,6,9387191,7419998,1967193,0.34,4.5
2025-11-03,2025,11,Tapanuli Utara,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,18457935,7,82691548,50202813,32488735,0.36,4.8
2025-04-15,2025,4,Padangsidimpuan,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,5584577,3,15580969,10039868,5541101,0.07,4.0
2025-06-10,2025,6,Karo,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,6162165,4,15282169,9410478,5871691,0.38,3.8
2025-04-27,2025,4,Sibolga,DT-2001,Smartphone X,Electronics,Smartphone,Online,Individual,8728274,8,39800929,26512506,13288423,0.43,3.9
2025-07-07,2025,7,Asahan,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,16364240,12,117822528,94370116,23452412,0.4,4.7
2025-01-11,2025,1,Langkat,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Business,2219738,2,2930054,1777987,1152067,0.34,4.5
2025-02-22,2025,2,Gunungsitoli,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,13897841,6,79217693,59245818,19971875,0.05,3.9
2025-07-23,2025,7,Karo,DT-1002,Laptop Air,Electronics,Laptop,Online,Individual,13406250,8,71857499,55285729,16571770,0.33,4.5
2025-04-05,2025,4,Mandailing Natal,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,6607607,15,85238130,63586985,21651145,0.14,3.9
2025-06-16,2025,6,Pematangsiantar,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,7049310,6,21147930,15881509,5266421,0.5,3.7
2025-12-11,2025,12,Langkat,DT-2001,Smartphone X,Electronics,Smartphone,Distributor,Individual,9818546,73,551900470,332369753,219530717,0.23,4.0
2025-05-10,2025,5,Padangsidimpuan,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,15383612,2,22152401,14080195,8072206,0.28,3.7
2025-06-25,2025,6,Mandailing Natal,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,12159312,5,46205385,33795891,12409494,0.24,4.7
2025-03-04,2025,3,Simalungun,DT-4001,Smartwatch,Wearables,Smartwatch,Distributor,Individual,3090928,55,147900904,89445822,58455082,0.13,4.0
2025-07-06,2025,7,Tanjungbalai,DT-2002,Smartphone Lite,Electronics,Smartphone,Distributor,Individual,4431784,54,179487252,110594108,68893144,0.25,3.8
2025-07-13,2025,7,Gunungsitoli,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,10479793,7,52818156,38389065,14429091,0.28,4.5
2025-03-23,2025,3,Pematangsiantar,DT-2001,Smartphone X,Electronics,Smartphone,Online,Individual,10639762,10,53198810,34570399,18628411,0.5,3.5
2025-10-17,2025,10,Gunungsitoli,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,17535012,10,159568609,106556741,53011868,0.09,4.7
2025-07-14,2025,7,Tanjungbalai,DT-1001,Laptop Pro,Electronics,Laptop,Distributor,Individual,17928433,71,967418244,720192090,247226154,0.24,4.7
2025-11-26,2025,11,Binjai,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,16329648,1,12083939,8465242,3618697,0.26,4.6
2025-02-14,2025,2,Mandailing Natal,DT-1002,Laptop Air,Electronics,Laptop,Online,Individual,13082601,3,22371247,14134203,8237044,0.43,4.9
2025-09-22,2025,9,Tanjungbalai,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Individual,2080533,8,15146280,10338052,4808228,0.09,4.7
2025-12-10,2025,12,Asahan,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,14909364,22,255844686,168496666,87348020,0.22,5.0
2025-08-01,2025,8,Mandailing Natal,DT-2001,Smartphone X,Electronics,Smartphone,Distributor,Business,11529399,27,286390271,201598861,84791410,0.08,3.5
2025-07-14,2025,7,Tapanuli Utara,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,4397401,17,61299769,46464885,14834884,0.18,3.9
2025-04-12,2025,4,Tapanuli Utara,DT-4001,Smartwatch,Wearables,Smartwatch,Distributor,Business,4319408,21,81636811,59087451,22549360,0.1,3.6
2025-01-19,2025,1,Tapanuli Utara,DT-2002,Smartphone Lite,Electronics,Smartphone,Distributor,Individual,5965763,15,86801851,61805540,24996311,0.03,4.0
2025-04-03,2025,4,Simalungun,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,6195294,3,13195976,10006228,3189748,0.29,3.6
2025-12-09,2025,12,Tebing Tinggi,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,3108325,2,3108325,2047397,1060928,0.5,4.6
2025-01-07,2025,1,Karo,DT-3001,Tablet Plus,Electronics,Tablet,Distributor,Individual,6659311,49,296938677,215380473,81558204,0.09,4.6
2025-12-01,2025,12,Langkat,DT-2001,Smartphone X,Electronics,Smartphone,Online,Individual,11445479,6,34336437,26788511,7547926,0.5,4.6
2025-09-28,2025,9,Tebing Tinggi,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Business,5807557,10,49944990,35448569,14496421,0.14,4.0
2025-11-28,2025,11,Karo,DT-3001,Tablet Plus,Electronics,Tablet,Distributor,Individual,8420216,29,222209500,134012995,88196505,0.09,4.9
2025-10-01,2025,10,Karo,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Business,4970610,8,35788392,23639761,12148631,0.1,4.6
2025-07-30,2025,7,Mandailing Natal,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,12710518,21,181506197,140209722,41296475,0.32,4.3
2025-09-13,2025,9,Sibolga,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,19626904,7,108536779,86570501,21966278,0.21,3.9
2025-11-12,2025,11,Padangsidimpuan,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,10457343,4,31790322,24896784,6893538,0.24,4.3
